presentation_order,filename,rating,rt_seconds
274,25_1_0_20170117191541627_proc.png,3,1.117
275,18_1_0_20170109214004496_proc.png,3,7.293
276,22_1_0_20170109213059848_proc.png,4,1.453
277,25_1_0_20170104022944286_proc.png,4,1.18
278,20_1_0_20170113005610158_proc.png,3,3.027
279,18_1_0_20170109212849263_proc.png,2,5.956
280,18_1_0_20170109214120554_proc.png,4,1.789
281,23_1_0_20170117144757777_proc.png,3,10.357
282,18_1_0_20170109213938695_proc.png,4,1.972
283,18_1_0_20170109213904824_proc.png,4,4.517
284,25_1_0_20170119172030770_proc.png,3,1.107
285,21_1_0_20170114032157249_proc.png,3,1.49
286,18_1_0_20170109214455239_proc.png,3,22.469
287,18_1_0_20170109213911368_proc.png,4,0.723
288,25_1_0_20170104023032454_proc.png,4,0.731
289,22_1_0_20170105002545990_proc.png,5,0.821
290,23_1_0_20170117144812555_proc.png,2,1.69
291,21_1_0_20170105183522855_proc.png,3,3.141
292,18_1_0_20170109214601671_proc.png,4,1.114
293,21_1_0_20170117142338224_proc.png,3,0.764
294,18_1_0_20170109212828069_proc.png,3,5.547
295,20_1_0_20170103163040136_proc.png,5,1.537
296,21_1_0_20170116214444473_proc.png,4,1.9
297,24_1_0_20170109214739809_proc.png,3,1.555
298,25_1_0_20170117152038451_proc.png,3,0.637
299,18_1_0_20170109214106546_proc.png,3,7.517
300,22_1_0_20170117143206386_proc.png,4,3.364
301,23_1_0_20170117142807780_proc.png,3,8.436
302,22_1_0_20170111182452750_proc.png,4,1.922
303,23_1_0_20170104234542547_proc.png,3,1.197
304,18_1_0_20170109214608184_proc.png,3,9.147
305,23_1_0_20170117145105755_proc.png,3,6.172
306,20_1_0_20170104020855852_proc.png,4,0.7
307,20_1_0_20170117193547491_proc.png,3,1.395
308,18_1_0_20170117140340105_proc.png,4,1.388
309,23_1_0_20170117144740562_proc.png,4,1.085
310,23_1_0_20170112234244982_proc.png,3,1.676
311,25_1_0_20170103180907920_proc.png,2,2.452
312,25_1_0_20170116223848612_proc.png,3,1.187
313,25_1_0_20170117142737553_proc.png,2,1.034
314,18_1_0_20170109214512153_proc.png,3,0.826
315,24_1_0_20170105000615467_proc.png,4,1.258
316,21_1_0_20170112233431458_proc.png,3,0.803
317,23_1_0_20170116221717766_proc.png,4,1.749
318,24_1_0_20170116215632635_proc.png,2,0.491
319,25_1_0_20170117151432922_proc.png,3,3.821
320,24_1_0_20170116214235749_proc.png,4,14.355
321,18_1_0_20170109212830216_proc.png,3,1.074
322,20_1_0_20170119153738075_proc.png,4,0.773
323,23_1_0_20170117144812555_proc.png,3,1.516
324,23_1_0_20170116221811019_proc.png,4,1.069
325,22_1_0_20170103183738666_proc.png,5,3.323
326,25_1_0_20170117195346437_proc.png,3,0.811
327,21_1_0_20170109213123896_proc.png,3,1.894
328,18_1_0_20170109214503497_proc.png,4,0.836
329,18_1_0_20170117135802544_proc.png,3,0.812
330,24_1_0_20170117150813388_proc.png,3,1.077
331,18_1_0_20170109212828069_proc.png,3,1.405
332,23_1_0_20170112234202903_proc.png,3,5.413
333,21_1_0_20170103201838744_proc.png,4,1.439
334,20_1_0_20170103175645974_proc.png,4,1.866
335,24_1_0_20170105003235308_proc.png,3,1.283
336,18_1_0_20170117140440920_proc.png,3,0.931
337,23_1_0_20170117144933457_proc.png,4,4.219
338,20_1_0_20170117141358391_proc.png,3,1.636
339,20_1_0_20170116211743925_proc.png,4,0.779
340,25_1_0_20170104023032454_proc.png,4,0.668
341,20_1_0_20170103163040136_proc.png,4,0.765
342,18_1_0_20170109213008587_proc.png,5,1.043
343,24_1_0_20170116000527997_proc.png,5,0.931
344,23_1_0_20170112234124928_proc.png,5,1.236
345,20_1_0_20170109213016635_proc.png,2,2.106
346,18_1_0_20170109214554528_proc.png,5,1.557
347,23_1_0_20170116221812669_proc.png,5,1.282
348,18_1_0_20170109212538216_proc.png,4,1.652
349,18_1_0_20170109212814819_proc.png,4,2.061
350,23_1_0_20170116221829961_proc.png,4,3.572
351,25_1_0_20170104234942017_proc.png,3,1.421
352,24_1_0_20170117194800876_proc.png,3,0.868
353,23_1_0_20170117145105755_proc.png,4,0.869
354,23_1_0_20170116173236417_proc.png,3,2.124
355,22_1_0_20170103163248351_proc.png,4,1.51
356,24_1_0_20170105183618095_proc.png,4,5.268
357,18_1_0_20170105002457379_proc.png,4,0.795
358,20_1_0_20170103175629504_proc.png,4,0.779
359,25_1_0_20170116213524092_proc.png,3,0.741
360,24_1_0_20170103163127424_proc.png,4,1.285
361,24_1_0_20170116222759439_proc.png,3,0.9
362,18_1_0_20170109213008587_proc.png,5,1.421
363,21_1_0_20170104231331482_proc.png,3,0.716
